entity_id,eia_location,confidence,n_months,spearman_anom,spearman_anom_p,pearson_anom,best_lag,tier,decoupled,significant
USGS-01578310,MD,high,269,0.7147769077131324,2.325137099689142e-43,0.6883795841163844,0,tight,False,True
USGS-03161000,NC,high,269,0.7058425345392,7.198141895331779e-42,0.6807367606749493,0,tight,False,True
USGS-02198500,GA,high,269,0.621683404538645,3.6842386052752015e-30,0.7096471500112085,0,tight,False,True
USGS-01570500,PA,high,269,0.6189856171435265,7.649755574434606e-30,0.598510484116382,0,tight,False,True
USGS-01184000,CT,high,268,0.6073830754335752,2.063749948168798e-28,0.3721176527206046,0,tight,False,True
USGS-06934500,MO,high,269,0.6060835845555371,2.288227373853649e-28,0.6021711520220776,0,tight,False,True
USGS-11425500,CA,high,269,0.5942252800434012,4.5482756869437046e-27,0.5842105283913835,0,tight,False,True
USGS-06486000,NE,high,268,0.5611924089506104,1.2265560924497623e-23,0.5089507057395012,0,tight,False,True
USGS-01536500,PA,high,269,0.5554895904615706,3.5200877645071563e-23,0.5422253705752288,0,tight,False,True
USGS-14105700,OR,high,269,0.538794648010673,1.1789788182247578e-21,0.5792509970786517,0,tight,False,True
USGS-07010000,MO,high,269,0.526124643202821,1.4910577123493246e-20,0.5802062475762115,0,tight,False,True
USGS-05331000,MN,high,267,0.5143270720823524,1.967576313630002e-19,0.4821402818123428,0,tight,False,True
USGS-06610000,NE,high,268,0.5028079761391056,1.4089664552494696e-18,0.490414120795789,0,tight,False,True
USGS-01434000,PA,high,269,0.5003723637081013,1.8886553022097827e-18,0.4757472862969576,0,tight,False,True
USGS-10109000,UT,high,267,0.4947836218081679,6.8076585165685656e-18,0.5573952097331967,1,moderate,False,True
USGS-07058000,MO,high,269,0.4923486655939632,7.866486121283732e-18,0.4584399817038199,0,moderate,False,True
USGS-09380000,AZ,high,269,0.4921772796488437,8.10661040379353e-18,0.6140745797049203,0,moderate,False,True
USGS-02358000,FL,high,259,0.4901244256924597,4.6702391493926713e-17,0.4903777926697673,0,moderate,False,True
USGS-02479000,SAT,low,197,0.4610107079287646,9.2812260315518e-12,0.3508597186738793,0,moderate,False,True
USGS-01646500,MD,high,269,0.4596994056513346,1.8029051944339584e-15,0.4498094035096079,0,moderate,False,True
USGS-11467000,CA,high,269,0.4497993304851208,8.380744348378682e-15,0.4376786839667043,0,moderate,False,True
USGS-07338500,OK,high,269,0.4407164918899924,3.2867495758040153e-14,0.5129072900450293,0,moderate,False,True
USGS-11383500,CA,high,269,0.4294950279581029,1.6825571912839808e-13,0.529411775055317,1,moderate,False,True
USGS-12194000,WA,high,269,0.4066396641328672,3.905711934899262e-12,0.4239104142167321,0,moderate,False,True
USGS-11522500,CA,high,269,0.406624868223936,3.913372790168893e-12,0.4724511315525056,2,moderate,False,True
USGS-09315000,UT,high,267,0.4046885619213218,6.064689236196048e-12,0.4821055220186008,1,moderate,False,True
USGS-02047500,VA,high,269,0.3963661242064391,1.487970214762446e-11,0.3476207252773161,0,moderate,False,True
USGS-10346000,CA,high,269,0.3628443901927783,8.587025284946955e-10,0.4881860026858448,0,moderate,False,True
USGS-12101500,WA,high,269,0.3565980506389983,1.7388978098121287e-09,0.3854901843939441,1,moderate,False,True
USGS-02314500,GA,high,269,0.3529323642012982,2.612367732692907e-09,0.352784190663598,0,moderate,False,True
USGS-10310000,CA,high,269,0.3495305381395377,3.793683392833917e-09,0.4660020430563858,2,moderate,False,True
USGS-01358000,NY,high,268,0.333873633378573,2.1218460360252135e-08,0.2928913105209811,0,moderate,False,True
USGS-12113000,WA,high,269,0.3179459452961293,9.856618851804937e-08,0.3794102317335962,1,moderate,False,True
USGS-13269000,ID,high,269,0.2683586818630982,8.080194225093444e-06,0.3022852194543793,0,weak,False,True
USGS-10338000,CA,high,269,0.2683108620466441,8.111403516787966e-06,0.3246195776284016,0,weak,False,True
USGS-11478500,CA,high,269,0.2656812384301015,1.0015444227123597e-05,0.3351538877425458,2,weak,False,True
USGS-03294500,KY,high,269,0.2410037791217395,6.514143853290864e-05,0.1984797513135878,0,weak,False,True
USGS-05587450,IL,high,258,0.2216794790317548,0.0003330259193915,0.1915226707068179,0,weak,False,True
USGS-13336500,ID,high,269,0.2107942320615016,0.000500721772511,0.2584679766342006,0,weak,False,True
