entity_id,station_name,state,region,hydrologic_unit_code,latitude,longitude,drainage_area,major_hydro_basin,hydro_relevant
USGS-01184000,"CONNECTICUT RIVER AT THOMPSONVILLE, CT",Connecticut,Northeast/Mid-Atlantic,010802050105,41.987204616172,-72.6053482565335,9660.0,Connecticut,true
USGS-01358000,HUDSON RIVER AT GREEN ISLAND NY,New York,Northeast/Mid-Atlantic,020200031107,42.75225,-73.68908333333334,8090.0,Hudson,true
USGS-01434000,DELAWARE RIVER AT PORT JERVIS NY,Pennsylvania,Northeast/Mid-Atlantic,020401040505,41.3705833333333,-74.6971388888889,3076.0,Delaware,true
USGS-01536500,"Susquehanna River at Wilkes-Barre, PA",Pennsylvania,Northeast/Mid-Atlantic,020501070205,41.2509149094563,-75.8807518498684,9960.0,Susquehanna,true
USGS-01570500,"Susquehanna River at Harrisburg, PA",Pennsylvania,Northeast/Mid-Atlantic,020503051011,40.25473717139125,-76.8860537753772,24100.0,Susquehanna,true
USGS-01578310,"SUSQUEHANNA RIVER AT CONOWINGO, MD",Maryland,Northeast/Mid-Atlantic,020503061713,39.657888888888884,-76.17444444444445,27100.0,Susquehanna,true
USGS-01646500,"POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA",Maryland,Northeast/Mid-Atlantic,020700081005,38.949777777777776,-77.12763888888888,11560.0,Potomac,true
USGS-02047500,"BLACKWATER RIVER NEAR DENDRON, VA",Virginia,Gulf Coast/Southeast,030102020301,37.0251499264414,-76.8746824342095,290.0,,true
USGS-02198500,"SAVANNAH RIVER NEAR CLYO, GA",Georgia,Gulf Coast/Southeast,03060109,32.5285555555556,-81.2683333333333,9850.0,Savannah,true
USGS-02231000,"ST. MARYS RIVER NEAR MACCLENNY, FL",Florida,Gulf Coast/Southeast,030702040503,30.3588472635457,-82.081501344355,700.0,St. Marys,true
USGS-02314500,"SUWANNEE RIVER AT US 441, AT FARGO, GA",Georgia,Gulf Coast/Southeast,03110201,30.6810277777778,-82.5601388888889,1130.0,Suwannee,true
USGS-02358000,APALACHICOLA RIVER AT CHATTAHOOCHEE FLA,Florida,Gulf Coast/Southeast,031300110203,30.7010251115745,-84.859087148258,17200.0,Apalachicola,true
USGS-02479000,"PASCAGOULA RIVER AT MERRILL, MS",Mississippi,Gulf Coast/Southeast,031700060102,30.9780555555556,-88.7269444444444,6590.0,Pascagoula,true
