entity_id,station_name,state,region,latitude,longitude,hydrologic_unit_code,site_type,agency_code,drainage_area,first_year_of_record,earliest_verified_year
USGS-01184000,"CONNECTICUT RIVER AT THOMPSONVILLE, CT",Connecticut,Northeast/Mid-Atlantic,41.987204616172,-72.6053482565335,010802050105,Stream,USGS,9660.0,1928,2004
USGS-01358000,HUDSON RIVER AT GREEN ISLAND NY,New York,Northeast/Mid-Atlantic,42.75225,-73.68908333333334,020200031107,Stream,USGS,8090.0,1946,2004
USGS-01434000,DELAWARE RIVER AT PORT JERVIS NY,Pennsylvania,Northeast/Mid-Atlantic,41.3705833333333,-74.6971388888889,020401040505,Stream,USGS,3076.0,1904,2004
USGS-01536500,"Susquehanna River at Wilkes-Barre, PA",Pennsylvania,Northeast/Mid-Atlantic,41.2509149094563,-75.8807518498684,020501070205,Stream,USGS,9960.0,1899,2004
USGS-01570500,"Susquehanna River at Harrisburg, PA",Pennsylvania,Northeast/Mid-Atlantic,40.25473717139125,-76.8860537753772,020503051011,Stream,USGS,24100.0,1890,2004
USGS-01578310,"SUSQUEHANNA RIVER AT CONOWINGO, MD",Maryland,Northeast/Mid-Atlantic,39.657888888888884,-76.17444444444445,020503061713,Stream,USGS,27100.0,1967,2004
USGS-01646500,"POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA",Maryland,Northeast/Mid-Atlantic,38.949777777777776,-77.12763888888888,020700081005,Stream,USGS,11560.0,1930,2004
USGS-02047500,"BLACKWATER RIVER NEAR DENDRON, VA",Virginia,Gulf Coast/Southeast,37.0251499264414,-76.8746824342095,030102020301,Stream,USGS,290.0,1941,2004
USGS-02198500,"SAVANNAH RIVER NEAR CLYO, GA",Georgia,Gulf Coast/Southeast,32.5285555555556,-81.2683333333333,03060109,Stream,USGS,9850.0,1929,2004
USGS-02231000,"ST. MARYS RIVER NEAR MACCLENNY, FL",Florida,Gulf Coast/Southeast,30.3588472635457,-82.081501344355,030702040503,Stream,USGS,700.0,1926,2004
USGS-02314500,"SUWANNEE RIVER AT US 441, AT FARGO, GA",Georgia,Gulf Coast/Southeast,30.6810277777778,-82.5601388888889,03110201,Stream,USGS,1130.0,1927,2004
USGS-02358000,APALACHICOLA RIVER AT CHATTAHOOCHEE FLA,Florida,Gulf Coast/Southeast,30.7010251115745,-84.859087148258,031300110203,Stream,USGS,17200.0,1922,2004
USGS-02479000,"PASCAGOULA RIVER AT MERRILL, MS",Mississippi,Gulf Coast/Southeast,30.9780555555556,-88.7269444444444,031700060102,Stream,USGS,6590.0,1930,2004
USGS-03161000,"SOUTH FORK NEW RIVER NEAR JEFFERSON, NC",North Carolina,Gulf Coast/Southeast,36.3933333333333,-81.4069444444444,05050001,Stream,USGS,205.0,1924,2004
USGS-03219500,Scioto River near Prospect OH,Ohio,Mississippi basin,40.4195041983232,-83.1971372128487,050600010505,Stream,USGS,567.0,1925,2004
USGS-03294500,"OHIO RIVER AT LOUISVILLE, KY",Kentucky,Mississippi basin,38.2803473627806,-85.7991305041063,05140101,Stream,USGS,91170.0,1928,2004
USGS-03612000,"CACHE RIVER AT FORMAN, IL",Illinois,Mississippi basin,37.335,-88.9252777777778,051402060508,Stream,USGS,244.0,1922,2004
USGS-05331000,"MISSISSIPPI RIVER AT ST. PAUL, MN",Minnesota,Upper Midwest/Missouri,44.9444444444444,-93.0881111111111,070102060805,Stream,USGS,36800.0,1892,2004
USGS-05474000,"Skunk River at Augusta, IA",Iowa,Upper Midwest/Missouri,40.75365,-91.2770888888889,070801071006,Stream,USGS,4312.0,1913,2004
USGS-05587450,"Mississippi River at Grafton, IL",Illinois,Mississippi basin,38.9679722222222,-90.429,071100090401,Stream,USGS,171300.0,1933,2004
USGS-06478500,"JAMES RIVER NEAR SCOTLAND, SD",South Dakota,Upper Midwest/Missouri,43.185833,-97.635278,101600111805,Stream,USGS,20672.0,1928,2004
USGS-06486000,"Missouri River at Sioux City, IA",Nebraska,Upper Midwest/Missouri,42.4861944444444,-96.4130833333333,102300010305,Stream,USGS,314600.0,1928,2004
USGS-06610000,"Missouri River at Omaha, NE",Nebraska,Upper Midwest/Missouri,41.2590555555556,-95.92325,102300060602,Stream,USGS,322800.0,1928,2004
USGS-06800500,"Elkhorn River at Waterloo, Nebr.",Nebraska,Upper Midwest/Missouri,41.293333,-96.283889,102200031006,Stream,USGS,6900.0,1899,2004
USGS-06934500,"Missouri River at Hermann, MO",Missouri,Upper Midwest/Missouri,38.7098055555556,-91.4385,103002000301,Stream,USGS,522500.0,1928,2004
USGS-07010000,"Mississippi River at St. Louis, MO",Missouri,Mississippi basin,38.629,-90.1797777777778,071401010403,Stream,USGS,697000.0,1861,2004
USGS-07058000,"Bryant Creek near Tecumseh, MO",Missouri,Mississippi basin,36.6272222222222,-92.3060555555556,110100060405,Stream,USGS,570.0,1944,2004
USGS-07338500,"Little River blw Lukfata Creek, nr Idabel, OK",Oklahoma,Mississippi basin,33.9412209387845,-94.7585481753819,111401070409,Stream,USGS,1228.0,1946,2004
USGS-08279500,"RIO GRANDE AT EMBUDO, NM",New Mexico,Great Basin/Southwest,36.2055555555556,-105.963972222222,130201011104,Stream,USGS,10400.0,1889,2004
USGS-09070500,"COLORADO RIVER NEAR DOTSERO, CO",Colorado,Colorado River basin,39.6446111111111,-107.078013888889,140100011508,Stream,USGS,4390.0,1940,2004
